Constellation, Average Colinearity, Same Constellations Accross Cultures 
CON chinese 290,2.3184656929632124, 1
CON western_hlad Lac,2.3181137560986564, 1
CON arabic_al-sufi Hya,2.316737041611347, 1
CON western Oph,2.3166155371233725, 2
CON romanian Cap,2.3154314546209784, 1
CON arabic_ancient 1101,2.3142183851814266, 1
CON western_SnT Aqr,2.3122592726283604, 1
CON western Eri,2.311993071043804, 2
CON western_SnT Cap,2.310049309552554, 1
CON western_hlad Hya,2.3098926027260434, 1
CON western Col,2.3085815950535147, 2
CON ruelle Dra,2.307992199823278, 1
CON chinese 030,2.30570603908118, 1
CON korean 091,2.3051109563202115, 1
CON romanian Bar,2.304541619247578, 1
CON western_rey Sgr,2.300467162845597, 1
CON western_hlad For,2.2994588836497987, 2
CON ruelle Lyn,2.297538441640915, 1
CON western_rey Aqr,2.2971898711667493, 1
CON arabic_ancient 5499,2.29705700920271, 1
CON boorong Lnk,2.2969824305282, 1
CON chinese 049,2.296831753119176, 1
CON korean 058,2.2965808153007936, 1
CON chinese 012,2.2960770391709304, 1
CON western Boo,2.2942581342373054, 3
CON chinese 036,2.2936503948446747, 1
CON egyptian 017,2.291607590088104, 1
CON egyptian 012,2.2900099234935047, 1
CON arabic_al-sufi Psc,2.2883130550446373, 1
CON belarusian 007,2.288292900276415, 1
CON korean 244,2.287758498194125, 2
CON arabic_al-sufi Aqr,2.2875435401560895, 1
CON tukano 007,2.2857138601399645, 3
CON korean 183,2.285462464362232, 1
CON chinese 050,2.2847140004563413, 1
CON chinese 013,2.2842942145744853, 1
CON ruelle Aql2,2.2839956722263475, 1
CON ruelle Cet,2.2836505519197763, 1
CON romanian Var,2.2823998578461353, 1
CON western_SnT Hya,2.2822365836770064, 1
CON ruelle Boo,2.278144268140719, 1
CON hawaiian_starlines KOM,2.2781293667542695, 1
CON korean 057,2.277170407673348, 1
CON tukano 011,2.2761685471572894, 6
CON blackfoot 001,2.2761685471572894, 1
CON boorong Mar,2.275033028835623, 1
CON ruelle Gem,2.2740828618891316, 1
CON western_hlad Cen,2.273859409476551, 1
CON ruelle Sge,2.2731119890518108, 1
CON western Lac,2.270190583949008, 2
CON maori 005,2.268955931296657, 4
CON korean 097,2.2673672199506925, 2
CON korean 078,2.267014715368956, 1
CON korean 046,2.266108518489745, 2
CON western_rey Lep,2.265796051584983, 2
CON aztec 004,2.264546202528317, 1
CON western_rey Peg,2.2635100341456615, 1
CON western_rey Her,2.263222298830248, 1
CON western_SnT Mon,2.26250774203208, 1
CON western_SnT Psc,2.261869335166119, 1
CON egyptian 013,2.2580305901013342, 1
CON arabic_al-sufi Lyr,2.2578198078359257, 1
CON japanese_moon_stations 25,2.2558558521413627, 1
CON ruelle CMa,2.254162948586935, 1
CON korean 142,2.254131571861986, 1
CON arabic_al-sufi Ser,2.2529520004663834, 1
CON arabic_ancient 6199,2.2520809330767206, 1
CON chinese 035,2.2518750391715936, 1
CON arabic_ancient 2703,2.2478808685829406, 1
CON arabic_ancient 2799,2.2478808685829406, 1
CON romanian Hra,2.2451634625169903, 1
CON korean 178,2.2445085651655523, 1
CON korean 272,2.2444885252068096, 1
CON western_hlad Aur,2.2442524013532252, 1
CON aztec 002,2.2440111542573193, 1
CON western_SnT Cam,2.2427354331499374, 1
CON ruelle Peg,2.2420576760249964, 1
CON tukano 002,2.2393690753219784, 1
CON arabic_arabian_peninsula 2805,2.2388640615901023, 3
CON arabic_al-sufi Lib,2.236849602119297, 1
CON western_SnT Pav,2.2298259378111904, 1
CON western_rey Lib,2.227554246700182, 2
CON arabic_al-sufi Peg,2.2271432156174975, 1
CON macedonian 011,2.2262567379749636, 1
CON korean 122,2.224978927501483, 2
CON western_hlad Peg,2.22483332978666, 1
CON chinese 231,2.222817977558994, 1
CON mandar 003,2.221616939277834, 1
CON chinese 097,2.2205932960615975, 1
CON western_hlad Tel,2.2187292541126014, 1
CON western_SnT Ser,2.218127563659852, 1
CON arabic_arabian_peninsula 3299,2.2179900634240437, 3
CON chinese 209,2.217199153350097, 1
CON ruelle Hya,2.2157132471862795, 1
CON chinese 206,2.215079570479306, 1
