Constellation, Max Magnitude, Same Constellations Accross Cultures 
CON korean 072,5.1, 1
CON chinese 249,5.1, 1
CON korean 068,5.11, 1
CON korean 184,5.11, 1
CON western_hlad Gru,5.11, 1
CON western_hlad Mic,5.11, 1
CON chinese 032,5.11, 1
CON chinese 074,5.11, 1
CON korean 045,5.12, 1
CON chinese 115,5.12, 1
CON korean 129,5.13, 1
CON korean 150,5.13, 1
CON western Cnc,5.13, 2
CON aztec 001,5.13, 1
CON chinese 135,5.13, 1
CON hawaiian_starlines IWI,5.14, 1
CON korean 029,5.14, 1
CON korean 119,5.14, 2
CON korean 123,5.14, 2
CON korean 178,5.14, 1
CON ruelle Cam,5.14, 1
CON western_rey Carh,5.14, 1
CON arabic_al-sufi Lup,5.14, 1
CON chinese 061,5.14, 1
CON chinese 176,5.14, 1
CON chinese 199,5.14, 1
CON korean 065,5.15, 2
CON korean 185,5.15, 1
CON korean 221,5.15, 1
CON korean 247,5.15, 1
CON western_hlad Del,5.15, 1
CON western_rey Peg,5.15, 1
CON chinese 178,5.15, 1
CON egyptian 014,5.15, 1
CON western Equ,5.16, 4
CON arabic_ancient 1501,5.16, 1
CON arabic_ancient 1502,5.16, 1
CON arabic_ancient 1599,5.16, 1
CON chinese 062,5.16, 1
CON chinese 134,5.16, 1
CON chinese 233,5.16, 1
CON western Crt,5.17, 3
CON arabic_ancient 5199,5.17, 1
CON western_hlad Crt,5.17, 1
CON ruelle Crt,5.17, 1
CON arabic_al-sufi Crt,5.17, 1
CON chinese 156,5.17, 1
CON egyptian 017,5.17, 1
CON western_SnT Crt,5.17, 1
CON korean 057,5.18, 1
CON korean 138,5.18, 1
CON arabic_ancient 1902,5.18, 2
CON arabic_ancient 1999,5.18, 2
CON western_hlad Men,5.18, 1
CON tupi 002,5.18, 1
CON chinese 046,5.18, 1
CON chinese 188,5.18, 1
CON korean 001,5.19, 1
CON western_SnT Sex,5.19, 1
CON korean 011,5.2, 1
CON korean 114,5.2, 1
