Constellation, Average Equal Spacing, Same Constellations Accross Cultures 
CON belarusian 007,0.1142175386677376, 1
CON ruelle Sgr,0.11447381947115216, 1
CON chinese 012,0.114509761746659, 1
CON korean 191,0.11472936094242976, 1
CON hawaiian_starlines MAN,0.11499143888519074, 1
CON egyptian 016,0.11501355602436131, 1
CON arabic_ancient 2099,0.11522798084699176, 1
CON korean 151,0.11548756929118181, 2
CON korean 110,0.11549032641659428, 1
CON western_hlad CrA,0.11578656713766164, 1
CON ruelle Crt,0.11599080125284267, 1
CON chinese 148,0.11603265626423659, 1
CON navajo 002,0.11610686131334387, 1
CON korean 260,0.11616067052199033, 1
CON arabic_ancient 3004,0.11622871754479158, 1
CON western_SnT UMa,0.11660347617312802, 1
CON western_rey Pup,0.11690556278647748, 1
CON western_rey Col,0.11705976818413523, 1
CON western_rey Cyg,0.11708400661267361, 1
CON western_hlad Sgr,0.1171842821618817, 1
CON korean 200,0.11778522051806747, 1
CON korean 236,0.11816635043495803, 2
CON chinese 080,0.118301018717255, 1
CON western_SnT Ori,0.11853038056009725, 1
CON ruelle Com,0.11860942621766743, 1
CON arabic_ancient 0499,0.11871985632308753, 1
CON arabic_al-sufi SHr,0.11890569891778305, 1
CON korean 247,0.11898073970073335, 1
CON chinese 128,0.11912190568223435, 1
CON western_SnT Mus,0.11912378917881283, 1
CON egyptian 021,0.11915915205052557, 1
CON korean 209,0.11919180320628703, 1
CON korean 099,0.1192270521872872, 1
CON western_rey Ara,0.1193403532105961, 1
CON tupi 003,0.11937442171266076, 1
CON arabic_ancient 5399,0.11968944475691488, 1
CON western_SnT Pup,0.11970634236016384, 1
CON western_rey TrA,0.11974191316690423, 2
CON ruelle Cer,0.11997320054433458, 1
CON arabic_al-sufi Vir,0.12002573476303563, 1
CON chinese 277,0.12020191814804607, 1
CON western Lep,0.12024626646358869, 2
CON ruelle Sco,0.12036551759135014, 1
CON tongan 007,0.12043944215954405, 1
